,category,city,name,rating,review,review_count,snippet_text,time_created,uid,urating
kazan-san-francisco,Japanese,San Francisco,Kazan,4.0,"Huge, fresh slices of sashimi. They had blue fin tuna when I went, and it was amazing. The ramen was also quite tasty. Great service, reasonable...",231.0,"Huge, fresh slices of sashimi. They had blue fin tuna when I went, and it was amazing. The ramen was also quite tasty. Great service, reasonable...",1488896814.0,ANUPSr_Ro7Xg7eY4CFDIqA,5.0
koo-san-francisco,Japanese,San Francisco,Koo,4.0,The spoonful of happiness is one of the best dishes I've had anywhere!  The baked scallop roll was very well balanced and a unique take on a usually sloppy...,1000.0,The spoonful of happiness is one of the best dishes I've had anywhere!  The baked scallop roll was very well balanced and a unique take on a usually sloppy...,1487487925.0,6TIw31PTyg0SBCcUmqIQIA,5.0
nabe-san-francisco-5,Japanese,San Francisco,Nabe,4.5,"This japanese hot pot is definitely a cut above the rest. For starters, I really enjoyed the door entrance more than I should have (it had no handle and...",50.0,"This japanese hot pot is definitely a cut above the rest. For starters, I really enjoyed the door entrance more than I should have (it had no handle and...",1487262274.0,aj5dqQXFkzh_Ub2sX6sxGA,5.0
okane-san-francisco,Japanese,San Francisco,Okane,4.0,"Came here for brunch last weekend and I've already made another reservation for brunch again next Sunday! I think this is my new favorite place for brunch,...",129.0,"Came here for brunch last weekend and I've already made another reservation for brunch again next Sunday! I think this is my new favorite place for brunch,...",1489202811.0,CGRkejdGiNtvX-lhcOFUZQ,5.0
nara-restaurant-and-sake-bar-san-francisco,Japanese,San Francisco,Nara Restaurant & Sake Bar,4.5,"The food here was delicious! However it was very upscale and bit pricey. 

We missed the happy hour ): but hopefully we can come back to it.

We had ordered...",270.0,"We came here for the oysters and they were out of them. Why five stars?

The friendliest servive ive seen in a while. If you were any other Restaurant, i...",1490333318.0,b63MMplMwPyxjw57J8mvig,5.0
new-oyaji-restaurant-san-francisco,Japanese,San Francisco,New Oyaji Restaurant,4.0,"Family owned Japanese restaurant with a late night only menu. 

They started a late night menu, mostly skewers, ramen and appetizers. This is my go to spot....",92.0,"Family owned Japanese restaurant with a late night only menu. 

They started a late night menu, mostly skewers, ramen and appetizers. This is my go to spot....",1485838544.0,meIimWr8fIFePSIBc2cGVA,5.0
eiji-san-francisco,Japanese,San Francisco,Eiji,4.0,"This review is long overdue, been to Eiji many times. Salmon sashimi is super legit here - melts in your mouth and super creamy. They have high quality fish...",946.0,"This review is long overdue, been to Eiji many times. Salmon sashimi is super legit here - melts in your mouth and super creamy. They have high quality fish...",1489823441.0,sOFYfhBR7p7d86Ay4qTvCA,5.0
hinodeya-ramen-bar-san-francisco,Japanese,San Francisco,Hinodeya Ramen Bar,4.0,Hinodeya is the new ramen place that opened in place of Shalala. The line here was pretty long on a Friday night at 8pm. Their ramen is is pretty light and...,187.0,Hinodeya is the new ramen place that opened in place of Shalala. The line here was pretty long on a Friday night at 8pm. Their ramen is is pretty light and...,1489604391.0,RndtjBHm41mIisU-oGeV1A,5.0
akikos-restaurant-san-francisco,Japanese,San Francisco,Akiko's Restaurant,4.0,"Everybody dies, but not everybody lives to try sushi this gewwwd (*.*)

So if you're standing up, sit down 
Make a reservation for dinner at Akiko's
Come...",1429.0,"Everybody dies, but not everybody lives to try sushi this gewwwd (*.*)

So if you're standing up, sit down 
Make a reservation for dinner at Akiko's
Come...",1489699655.0,Ykf2yzcX_0n4yCNaBXJ7oQ,5.0
izakaya-rintaro-san-francisco,Japanese,San Francisco,Izakaya Rintaro,4.0,"Impromptu craving for an izakaya and some yakitori - check!

We walked in on a Saturday evening just as they opened. We were offered a table that was...",259.0,"Impromptu craving for an izakaya and some yakitori - check!

We walked in on a Saturday evening just as they opened. We were offered a table that was...",1489990169.0,plRdfXilUgpnGE4c_RnlHw,5.0
skool-san-francisco,Japanese,San Francisco,Skool,4.0,Came here for dinner on a Thursday night and loved it! Parking was super easy to start off the night on a high note. First off their menu is printed on...,1309.0,Came here for dinner on a Thursday night and loved it! Parking was super easy to start off the night on a high note. First off their menu is printed on...,1489468764.0,FnakyxEs4HAEi0r4SrIQ1Q,5.0
warakubune-sushi-san-francisco,Japanese,San Francisco,Warakubune Sushi,4.0,"Amazing sushi restaurant, hands down. I've been to Kulas and this other . The sushi is extremely fresh, udon is superb, and their service was amazing! We...",513.0,"Amazing sushi restaurant, hands down. I've been to Kulas and this other . The sushi is extremely fresh, udon is superb, and their service was amazing! We...",1483329685.0,hMcxzCKFUPiZsvdOczEbMA,5.0
mensho-tokyo-san-francisco-2,Japanese,San Francisco,Mensho Tokyo,4.0,"Ah, we had no idea what we were getting ourselves into. We waited in line for a good 45 minutes (maybe an hour). I counted the seats inside... 24 seats?!...",780.0,Good things happen to those to wait. A phrase that fits my experience at Mensho Tokyo. I mean the complexity of flavors you are getting from any great ramen...,1490383277.0,H2ypgSQanDLuP3wkVJM1Vw,5.0
izakaya-sozai-san-francisco,Japanese,San Francisco,Izakaya Sozai,4.0,Amazing place! We got two seats at the bar and had a great time watching the cooks make everything. Every single dish that came out of the kitchen looked...,1699.0,Amazing place! We got two seats at the bar and had a great time watching the cooks make everything. Every single dish that came out of the kitchen looked...,1490035241.0,ryYI5lVqqSnm9LV7RGfrEw,5.0
surisan-san-francisco,Korean,San Francisco,Surisan,4.5,"Amazing food, super friendly staff, great service, and it's a 10 minute walk from my place to boot!
 
We decided to treat ourselves to breakfast out on a...",135.0,"Amazing food, super friendly staff, great service, and it's a 10 minute walk from my place to boot!
 
We decided to treat ourselves to breakfast out on a...",1490120293.0,v2w1l4Sj9QIsU3If7FMRSQ,5.0
tacorea-san-francisco,Korean,San Francisco,Tacorea,4.5,"This place is 10/10. Despite the abundant amount of lunch spots in FiDi that are within walking distance, my coworkers and I are willing to take an Uber to...",450.0,"This place is 10/10. Despite the abundant amount of lunch spots in FiDi that are within walking distance, my coworkers and I are willing to take an Uber to...",1489731571.0,2AJj0Oqo67_NSz2GfkXnUA,5.0
hrd-san-francisco-4,Korean,San Francisco,HRD,4.5,"A solid four stars for food and the amazing and friendly service gets the bump to a 5 star!

Came by here with a friend last weekend. We were headed to...",2010.0,"A solid four stars for food and the amazing and friendly service gets the bump to a 5 star!

Came by here with a friend last weekend. We were headed to...",1489959026.0,dTJ7TjS-yFfxJiT4ob-rRw,5.0
hwaro-san-francisco-2,Korean,San Francisco,Hwaro,4.0,"This place is amazing! Every time I come in I practically inhale all of my food. I would say my favorite things to order are the Pork Belly, Yuk Ge Jang,...",79.0,"This place is amazing! Every time I come in I practically inhale all of my food. I would say my favorite things to order are the Pork Belly, Yuk Ge Jang,...",1490043285.0,5uep8OMcutk9TKaPRfvo9Q,5.0
aria-san-francisco-3,Korean,San Francisco,Aria,4.0,"I just arrived to San Francisco from a long flight and I was starving...
I ordered the rice cake with extra fish cake to go.
Amazing customer service, soooo...",234.0,"I just arrived to San Francisco from a long flight and I was starving...
I ordered the rice cake with extra fish cake to go.
Amazing customer service, soooo...",1489274565.0,jduBf12l0j9SpLHhmYpStA,5.0
koja-kitchen-san-francisco-7,Korean,San Francisco,Koja Kitchen,4.0,This is my go to place! The first time I had a Koja (like a sandwich but with rice cakes as a bun) was at their food truck and was blown away by the flavor....,339.0,This is my go to place! The first time I had a Koja (like a sandwich but with rice cakes as a bun) was at their food truck and was blown away by the flavor....,1488312856.0,VQ8cjPJNgkZ9BDGPRe74sw,5.0
stone-bowl-plus-san-francisco,Korean,San Francisco,Stone Bowl Plus,4.0,"Discovered this place from yelp when I looking for a dinner restaurant. Stone bowl is great place to dinner with your girlfriend. 
The workers are friendly...",91.0,"Discovered this place from yelp when I looking for a dinner restaurant. Stone bowl is great place to dinner with your girlfriend. 
The workers are friendly...",1486053444.0,eirLZ9SSo9mkSBvauoxNSQ,5.0
henrys-cafe-and-deli-san-francisco-2,Korean,San Francisco,Henry's Cafe & Deli,4.0,My friend found this hole-in-the-wall (literally you just see a door to a dimly litted convenience store) that sells amazing bulgogi over rice! They also...,185.0,"This place is amazing. The two women who work in this tiny convenience store / korean food spot might be the nicest people in SF.
The Bulgogi Bibimbap is my...",1474504914.0,qn2pHkA6HMkFrG97KOzHbw,5.0
manna-san-francisco,Korean,San Francisco,Manna,4.0,"After coming back from Korea on vacation, I've never been so thankful for a restaurant. Hits the spot and feels very authentic. The bibimbap is pretty cheap...",768.0,"After coming back from Korea on vacation, I've never been so thankful for a restaurant. Hits the spot and feels very authentic. The bibimbap is pretty cheap...",1489206061.0,JFegaliDuIDHDUs5FmpbRA,5.0
jin-mi-korean-cuisine-san-francisco,Korean,San Francisco,Jin Mi Korean Cuisine,4.0,"~$13 post tax and tip for sit down Korean soft tofu PUPRLE rice (yayyyyy!!!) with banchan. That's a steal in my book! 

- CHICKEN SOFT TOFU (4 stars):...",308.0,"~$13 post tax and tip for sit down Korean soft tofu PUPRLE rice (yayyyyy!!!) with banchan. That's a steal in my book! 

- CHICKEN SOFT TOFU (4 stars):...",1486674619.0,qurv1eJZswxUZaZqN53Meg,4.0
han-il-kwan-san-francisco,Korean,San Francisco,Han Il Kwan,4.0,"ANOTHER ONE (DJ KHALAD VOICE). This place would be a go to Korean Restaruant for me, if it wasn't all the way in San Francisco. It's coo though, I'm sure I...",1237.0,"I am pretty pleasantly surprised by my visit here. As a Korean, my standards for Korean restaurants are pretty high. Typically when I visit a Korean BBQ...",1490215791.0,U17K-uxiFyuwKICm-CL01Q,4.0
joo-mak-san-francisco,Korean,San Francisco,Joo Mak,4.0,Monday evening looking for a place that opens late since many places close after 11pm. The server was very nice to switch out my drink since I've mentioned...,129.0,Monday evening looking for a place that opens late since many places close after 11pm. The server was very nice to switch out my drink since I've mentioned...,1487102656.0,w61-so1qdqtqxbflIr87mQ,5.0
bibimbar-san-francisco,Korean,San Francisco,BibimBar,4.0,"Hidden inside the International Food Court. It's by far the busiest one inside the food court and for good reason! 

Really good and fast- it's chipotle...",156.0,"Hidden inside the International Food Court. It's by far the busiest one inside the food court and for good reason! 

Really good and fast- it's chipotle...",1489176801.0,bKqqC9HlY_8Ch9UoM5PnhA,4.0
muguboka-restaurant-san-francisco,Korean,San Francisco,Muguboka Restaurant,4.0,This is one of my favorite spots for Korean food in the city. I happen to randomly discover this place after looking through Yelp with a group of hungry...,666.0,This is one of my favorite spots for Korean food in the city. I happen to randomly discover this place after looking through Yelp with a group of hungry...,1489289948.0,k7ux9RYWx42y5KInJUbdhA,4.0
the-spot-lounge-san-francisco,Korean,San Francisco,The Spot Lounge,4.0,"came here on a weekend with my friends, and I could not pass by the great deal they displayed on their window that I haven't seen before! it's a deal where...",513.0,"came here on a weekend with my friends, and I could not pass by the great deal they displayed on their window that I haven't seen before! it's a deal where...",1486001702.0,Fvf6oXK7kPCFd4dd4-KtxA,5.0
the-crew-san-francisco,Korean,San Francisco,The Crew,4.0,The Crew has the best Korean fried chicken wings and BBQ short ribs (kalbi). Their kalbi is so flavorful and fresh. Their fried chicken wings have the right...,289.0,"- Taste: yay
- Value: highly ranges
- Service: ok
- Ambiance: ok

// Tofu soup: 4 stars: $11.95 pre-tax for chicken soft tofu soup with rice cakes, banchan...",1490343181.0,MFoa2EGCCKFREdh03ppudQ,4.0
wang-dae-bak-san-francisco-3,Korean,San Francisco,Wang Dae Bak,4.0,"Wang Dae Bak is the place to go when the line at Shabu House is ridiculously long. I have never needed to wait for a table, even during busy dinner times....",177.0,"Wang Dae Bak is the place to go when the line at Shabu House is ridiculously long. I have never needed to wait for a table, even during busy dinner times....",1489560317.0,MNKa22e08tytuBaF5-SF_g,5.0
carbon-grill-san-francisco-3,Korean,San Francisco,Carbon Grill,4.0,"It's worth the wait, highly enjoyed this place! 

I didn't mind the wait, I think it took over an hour for us to get called. We were a group of 10 so it...",280.0,"It's worth the wait, highly enjoyed this place! 

I didn't mind the wait, I think it took over an hour for us to get called. We were a group of 10 so it...",1490234938.0,chEls2JH3lI1RfRtSllRTQ,5.0
um-ma-son-san-francisco,Korean,San Francisco,Um Ma Son,4.0,"When was the last time you had Korean food where the cashier was also the owner and the chef?! Seriously, this umma is amazing.

Came for a late night...",333.0,"When was the last time you had Korean food where the cashier was also the owner and the chef?! Seriously, this umma is amazing.

Came for a late night...",1486320625.0,0VYzR15p6G18-2_KCsvuEw,5.0
my-tofu-house-san-francisco,Korean,San Francisco,My Tofu House,4.0,"Went for lunch and I think it's totally worth it (~$35 for 2). There's no BCD Tofu House in SF, so this is a great alternative.

Banchan (side dishes): very...",1501.0,"Went for lunch and I think it's totally worth it (~$35 for 2). There's no BCD Tofu House in SF, so this is a great alternative.

Banchan (side dishes): very...",1489885570.0,sOFYfhBR7p7d86Ay4qTvCA,5.0
jang-soo-bbq-san-francisco,Korean,San Francisco,Jang Soo BBQ,4.0,"I came here with some friends on a Sunday night. We sat at a large table with the grill but opted not to use it for the sake of time.

We got a variety of...",384.0,"I came here with some friends on a Sunday night. We sat at a large table with the grill but opted not to use it for the sake of time.

We got a variety of...",1488334150.0,taPq7IxYskEWH7Vfc261pQ,4.0
shin-toe-bul-yi-san-francisco,Korean,San Francisco,Shin Toe Bul Yi,3.5,"I enjoyed this place. 3.5 stars rounding up to 4. Good food, service, and atmosphere.

Came here on a rainy day right when it opened and was craving soup...",526.0,"I enjoyed this place. 3.5 stars rounding up to 4. Good food, service, and atmosphere.

Came here on a rainy day right when it opened and was craving soup...",1477449688.0,R0zA1LoAuLbTqXQtGBxgzw,4.0
the-store-on-the-corner-san-francisco,Korean,San Francisco,The Store On the Corner,3.5,"The Bibimbop is soooo good! Usually very quick as well. Don't forget the fried egg.

Really not any seating other than two bar stools, so really only good...",142.0,"The Bibimbop is soooo good! Usually very quick as well. Don't forget the fried egg.

Really not any seating other than two bar stools, so really only good...",1487273355.0,7JtmUwhskwelzQwu0KXWQg,5.0
707-sutter-san-francisco,Korean,San Francisco,707 Sutter,3.5,"Just went here for the first time the other night with a group of friends after volleyball. It is conveniently located on sutter, just blocks from union...",460.0,"Just went here for the first time the other night with a group of friends after volleyball. It is conveniently located on sutter, just blocks from union...",1490067420.0,R6aN0AT0uBMsV5U-IGTA8w,4.0
toyose-san-francisco,Korean,San Francisco,Toyose,3.5,Came here yesterday with a friend and ordered baby octopus with noodles and we both didn't quite enjoy the taste of it. We asked for no spiciness at all but...,1326.0,Came here yesterday with a friend and ordered baby octopus with noodles and we both didn't quite enjoy the taste of it. We asked for no spiciness at all but...,1488870418.0,rxoWZjl_YJubrymNmd93Eg,4.0
zzan-san-francisco-2,Korean,San Francisco,Zzan,3.5,"Zzan is one of my boyfriend's favorite location and he absolutely loves this place. We come here pretty often, and there is usually no wait. They have...",134.0,"Zzan is one of my boyfriend's favorite location and he absolutely loves this place. We come here pretty often, and there is usually no wait. They have...",1486780791.0,rNPCGwPivRPsasy5HsKOAA,4.0
brothers-restaurant-san-francisco,Korean,San Francisco,Brothers Restaurant,3.5,"~100th review woooo~

I was waiting for a good spot for my 100th review and Brothers surely delivered! A, one of our friends and I originally tried to go to...",1036.0,"A solid kbbq place in the city with quite a long history. 

+Charcoal grill for smoky meat flavor
+Galbi is seasoned well and cooks tender
+Complimentary...",1490225095.0,O8SlOAV5JLqBVB5RlRtjEg,5.0
wooden-charcoal-korean-village-barbecue-house-san-francisco,Korean,San Francisco,Wooden Charcoal Korean Village Barbecue House,3.5,"You'll leave her smelling like BBQ, but what Korean place doesn't make you smell. 

Great variety of food and side dishes. You can cook yourself with their...",481.0,"You'll leave her smelling like BBQ, but what Korean place doesn't make you smell. 

Great variety of food and side dishes. You can cook yourself with their...",1485410885.0,meIimWr8fIFePSIBc2cGVA,4.0
curry-leaf-san-francisco,Indian,San Francisco,Curry Leaf,4.5,"LOVE this place. Friendly, fast service and flavorful food. The lamb biryani was one of the best I've ever had, and definitely the best I've had in the...",363.0,"LOVE this place. Friendly, fast service and flavorful food. The lamb biryani was one of the best I've ever had, and definitely the best I've had in the...",1489955367.0,2Tzpen-WHET9CZpN8c6_9A,5.0
keeva-indian-kitchen-san-francisco,Indian,San Francisco,Keeva Indian Kitchen,4.5,"Atmosphere: authentic
Service: genuine 
Food: phenomenal 

My friend Tobias has been raving about this place ever since it opened and now I can see why....",116.0,"Atmosphere: authentic
Service: genuine 
Food: phenomenal 

My friend Tobias has been raving about this place ever since it opened and now I can see why....",1489336523.0,fMpkI1tB9k_tNf9lB5x6Bw,5.0
indian-paradox-san-francisco-2,Indian,San Francisco,Indian Paradox,4.5,"Few weeks ago, we came to Indian Paradox with a couple of friend of ours who raves about this place! Our friends are a big wine connoisseurs and have a hard...",66.0,"Few weeks ago, we came to Indian Paradox with a couple of friend of ours who raves about this place! Our friends are a big wine connoisseurs and have a hard...",1488582292.0,ms10r_6qLxL8-pS-0UaLRA,5.0
tara-indian-cuisine-san-francisco,Indian,San Francisco,Tara Indian Cuisine,4.5,FOOD: This is all I can comment on as we order takeout from here consistently. I would order something apart from my usuals were it not for violent...,152.0,FOOD: This is all I can comment on as we order takeout from here consistently. I would order something apart from my usuals were it not for violent...,1488584367.0,8BWfRKelDjo-7P_QbQ-Kmg,5.0
a-desi-cafe-san-francisco-3,Indian,San Francisco,A Desi Cafe,4.5,We came across this restaurant (a family of seven) by accident and were not the least bit disappointed.  Service was excellent (especially on a Saturday...,154.0,We came across this restaurant (a family of seven) by accident and were not the least bit disappointed.  Service was excellent (especially on a Saturday...,1486953450.0,ODHq5qmtdRX0o0QggdAj-g,5.0
the-dosa-brothers-san-francisco-4,Indian,San Francisco,The Dosa Brothers,4.5,"Made to order dosa! The guys working are super friendly to everyone - customers and everyone walking by the stand. 

I really appreciated the guy taking my...",175.0,"Super fain street vendor what has the loaded dosa's.

Location is subject to change depending on traffic patterns, weather, franchise number, permits,...",1490250671.0,bKqqC9HlY_8Ch9UoM5PnhA,5.0
august-1-five-san-francisco,Indian,San Francisco,August 1 Five,4.0,"Went again about 3 days ago, and loved everything. It was packed on a Saturday evening, around 5.45PM. This time we made reservations and so glad that we...",214.0,"Went again about 3 days ago, and loved everything. It was packed on a Saturday evening, around 5.45PM. This time we made reservations and so glad that we...",1489632140.0,26PPnXicEuoIgcvG-AoFog,5.0
viva-goa-san-francisco,Indian,San Francisco,Viva Goa,4.0,"Came here for dinner on a Friday night and there were plenty of tables available. 

All of the food was really good. I had the vegetable samosas, chicken...",343.0,"Came here for dinner on a Friday night and there were plenty of tables available. 

All of the food was really good. I had the vegetable samosas, chicken...",1487393374.0,49wpnk-zjBhwJP79T9IoXg,5.0
dum-indian-soul-food-san-francisco,Indian,San Francisco,DUM Indian Soul Food,4.0,"Fancy Indian food. We had three appetizers (pani poori, two vegetable parathas), one side of beans, and a plate of the fried tandoori chicken. The...",86.0,"Fancy Indian food. We had three appetizers (pani poori, two vegetable parathas), one side of beans, and a plate of the fried tandoori chicken. The...",1485839874.0,MB0quDwn_WbmTt_pAknfTg,5.0
kebab-king-san-francisco,Indian,San Francisco,Kebab King,4.5,"I barely write reviews and this is my first one on yelp but this place deserves a recognition!!
I am personally impressed with it. I have been to so many...",139.0,"I barely write reviews and this is my first one on yelp but this place deserves a recognition!!
I am personally impressed with it. I have been to so many...",1486189951.0,S2Dyt7SwUQEkFD4fXziMZg,5.0
red-chilli-san-francisco,Indian,San Francisco,Red Chilli,4.0,This place is off the shizzle pho nizzle. I just can't resist the taste and temptation of their chicken Tikka masala. When my taste buds make contact with...,290.0,This place is off the shizzle pho nizzle. I just can't resist the taste and temptation of their chicken Tikka masala. When my taste buds make contact with...,1489884195.0,eJLuQ8jwx3fP8_aS-gUbKA,5.0
campton-place-restaurant-san-francisco,Indian,San Francisco,Campton Place Restaurant,4.0,"The food was absolutely fantastic.  Each dish was beautiful, unique, and full of delicious Indian inspired flavors.  The most stand out dish was the lamb...",622.0,"The food was absolutely fantastic.  Each dish was beautiful, unique, and full of delicious Indian inspired flavors.  The most stand out dish was the lamb...",1488556294.0,kfhzp5XOktBWswkkas7fbw,5.0
om-indian-cuisine-san-francisco,Indian,San Francisco,Om Indian Cuisine,4.5,"Don't be fooled by all the poor Indian restaurants that have occupied this location...Om is in completely different class!

Their curries are not only super...",105.0,"Don't be fooled by all the poor Indian restaurants that have occupied this location...Om is in completely different class!

Their curries are not only super...",1489444356.0,tgDoCTmtO3TReVsHRrGrsQ,5.0
dakshin-san-francisco-6,Indian,San Francisco,Dakshin,4.0,"TLDR; Authentic, delicious south Indian food that is value for money, with good quality ingredients.

Dakshin is a really good add to the Polk street...",67.0,"TLDR; Authentic, delicious south Indian food that is value for money, with good quality ingredients.

Dakshin is a really good add to the Polk street...",1489096004.0,P683d939SXKANgNgZw_MJg,5.0
udupi-palace-san-francisco,Indian,San Francisco,Udupi Palace,4.0,"SO GOOD!

I came here with friends who were in town for a late dinner. I wanted to show them great southern Indian food without the DOSA price. We each...",1095.0,"SO GOOD!

I came here with friends who were in town for a late dinner. I wanted to show them great southern Indian food without the DOSA price. We each...",1490041072.0,Q5rLT0B67e4q3fg2DLYYDw,5.0
holy-kitchen-san-francisco,Indian,San Francisco,Holy Kitchen,4.0,"Omg I love this place. It's a gem not to miss if your taste buds are craving in for some authentic Indian cuisine.
You get that positive vibe the moment you...",179.0,"Omg I love this place. It's a gem not to miss if your taste buds are craving in for some authentic Indian cuisine.
You get that positive vibe the moment you...",1484934103.0,fFF4RPD9J7CCwo1EeIDPNw,5.0
aslams-rasoi-san-francisco,Indian,San Francisco,Aslam's Rasoi,4.0,"My favorite Indian place in SF. It's rarely packed to the brim, and the staff is very attentive. My go-to is the pakoras, garlic naan, and tandoori chicken,...",795.0,"My favorite Indian place in SF. It's rarely packed to the brim, and the staff is very attentive. My go-to is the pakoras, garlic naan, and tandoori chicken,...",1485144063.0,6k5xUjKC4AAxUeL78VLZpA,5.0
mela-tandoori-kitchen-san-francisco-2,Indian,San Francisco,Mela Tandoori Kitchen,4.0,"I don't think 5 stars does justice to the quality of food served here. I have eaten at loads of Pakistani restaurants.. Houston, virginia, dc, chicago, new...",377.0,"I don't think 5 stars does justice to the quality of food served here. I have eaten at loads of Pakistani restaurants.. Houston, virginia, dc, chicago, new...",1488948702.0,AhD-xoESoX0wy_pFIOsDWQ,5.0
chaat-corner-san-francisco-2,Indian,San Francisco,Chaat Corner,4.0,This restaurant has less seating but is extremely clean and the staff is very attentive. The food took time to come but what's great about this place is...,66.0,This restaurant has less seating but is extremely clean and the staff is very attentive. The food took time to come but what's great about this place is...,1486530186.0,qk2dIilo8wdMkzIZNgqbyw,5.0
newa-san-francisco-4,Indian,San Francisco,Newa,4.0,Came here on a Thursday night late with a friend! Love that this place stays open until past 10 pm - inside is cozy and there's a couple of large tables for...,81.0,Came here on a Thursday night late with a friend! Love that this place stays open until past 10 pm - inside is cozy and there's a couple of large tables for...,1488676497.0,RZ65B7v2b838WgrHa4goEw,4.0
saffron-grill-san-francisco,Indian,San Francisco,Saffron Grill,4.0,"My favorite Indian restaurant in the city. Delicious food, homey interior, and nice staff. I didn't ask but it feels like a family run place.

I've ordered...",407.0,"My favorite Indian restaurant in the city. Delicious food, homey interior, and nice staff. I didn't ask but it feels like a family run place.

I've ordered...",1483500441.0,Dxd6FZKyMQJvpBErJLn8nw,5.0
amber-india-san-francisco-2,Indian,San Francisco,Amber India,4.0,My boyfriend and I went to Amber India last week and had a wonderful night. This place has some of the best Indian food in the city! The menu was extensive...,1671.0,My boyfriend and I went to Amber India last week and had a wonderful night. This place has some of the best Indian food in the city! The menu was extensive...,1488840445.0,jmLy6uciFd1de0nGDe1hfw,5.0
dosa-on-fillmore-san-francisco-3,Indian,San Francisco,DOSA on Fillmore,4.0,"Love this place! 

Their Paneer one is the best :) The interior has a nice ambiance and great service.",2356.0,"Love this place! 

Their Paneer one is the best :) The interior has a nice ambiance and great service.",1490054487.0,6s2E1meM3-p4MEQwXZfjIw,5.0
dosa-on-valencia-san-francisco,Indian,San Francisco,DOSA on Valencia,4.0,"Oh maaannn, this has got to be one of the best food (and service) experiences I've had so far! After putting off an Indian food dinner date for a few weeks,...",2017.0,"Oh maaannn, this has got to be one of the best food (and service) experiences I've had so far! After putting off an Indian food dinner date for a few weeks,...",1489630160.0,6Pei9SKrB69e0N0wYlDaeA,5.0
pakwan-restaurant-16th-street-san-francisco,Indian,San Francisco,Pakwan Restaurant - 16th Street,4.0,"Whoa. Really flavorful food with great portions. I like it.

I suggest ordering take-out if you want to have a nice sit-down meal, otherwise you'll have to...",1475.0,"Why is this place so packed on a daily basis? Even the pick up line is crazy.

If you are looking for good portioned indian food, this would probably go on...",1490310638.0,kiwVPQ9jh2UIQn1sRes03A,5.0
lahore-karahi-san-francisco-2,Indian,San Francisco,Lahore Karahi,4.0,So this place is in the TL but it honestly didn't seem that bad..other than the really awkward situation of one of the servers getting into an argument with...,1226.0,So this place is in the TL but it honestly didn't seem that bad..other than the really awkward situation of one of the servers getting into an argument with...,1486658576.0,NkN0dp-nmrn1kWvIB0a7lw,5.0
little-delhi-san-francisco,Indian,San Francisco,Little Delhi,4.0,"Little Delhi is the best food option in Union Square. It's the perfect way to start and end a shopping day. 
The place is a decent size with a ton of staff...",1632.0,"Little Delhi is the best food option in Union Square. It's the perfect way to start and end a shopping day. 
The place is a decent size with a ton of staff...",1489723026.0,XEL38r_yzp-b-BQvN2nsAQ,4.0
north-india-restaurant-san-francisco,Indian,San Francisco,North India Restaurant,4.0,"Great service. 
Quick pick-up. 
Friendly staff. 
I had the chicken biryani with raita. 
It's the best biryani I've had in SF!",810.0,"Great service. 
Quick pick-up. 
Friendly staff. 
I had the chicken biryani with raita. 
It's the best biryani I've had in SF!",1489469538.0,Yad7ogkamRi2dnmFa4N_Yw,5.0
chennai-kings-san-francisco,Indian,San Francisco,Chennai Kings,3.5,"Good south Indian food! Their masala Dosa, pesto dosa, chicken dosa, sambhar, all chutneys - everything I've tried here has been amazing! I wish they...",75.0,"Good south Indian food! Their masala Dosa, pesto dosa, chicken dosa, sambhar, all chutneys - everything I've tried here has been amazing! I wish they...",1487391999.0,Crjg5XZnqFhAeDjH2RBnbg,4.0
spices-and-aroma-san-francisco,Indian,San Francisco,Spices and Aroma,5.0,"This was a very beautiful, delicious and well considered dining experience. The communal tables allow you to socialize while eating the most delicious food....",5.0,"This was a very beautiful, delicious and well considered dining experience. The communal tables allow you to socialize while eating the most delicious food....",1480967848.0,MIDhIlTbXM15RBYoMJKaig,5.0
panuchos-san-francisco,Mexican,San Francisco,Panucho's,4.5,"VERY impressed with their carnitas. I was hoping to find a burrito in the neighborhood that wasn't the normal, mediocre place I'd settle for on Columbus. I...",60.0,"VERY impressed with their carnitas. I was hoping to find a burrito in the neighborhood that wasn't the normal, mediocre place I'd settle for on Columbus. I...",1487900699.0,S4MB2dpIaBJwDAw2pxkqKA,5.0
garajito-san-francisco,Mexican,San Francisco,Garajito,4.5,"Hole in the wall and bring cash because it is cash only! 

Their Ahi Taco is simply the must order!  Variety of hot sauces with their tacos, is enlightening...",38.0,"Hole in the wall and bring cash because it is cash only! 

Their Ahi Taco is simply the must order!  Variety of hot sauces with their tacos, is enlightening...",1487873379.0,I-FmdvI28N7OIIt4JZOgIg,5.0
el-buen-comer-san-francisco-3,Mexican,San Francisco,El Buen Comer,4.5,"If you want to try REAL AUTHENTIC MEXICAN FOOD 
THIS IS THE PLACE!!! 

Service is great , the environment is awesome and it's delicious. 
As a Mexican it...",108.0,"If you want to try REAL AUTHENTIC MEXICAN FOOD 
THIS IS THE PLACE!!! 

Service is great , the environment is awesome and it's delicious. 
As a Mexican it...",1488767532.0,dbI7OyfXInaBaCi30LcKBQ,5.0
